Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
leg_base_link,0.02105,-0.10092,0.086245,0,0,0,0.042804,8.9094E-06,-2.4796E-22,-1.3701E-22,8.9094E-06,7.6401E-22,1.2371E-05,0,0,0,0,0,0,package://leg_description/meshes/leg_base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leg_description/meshes/leg_base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg_steer_link,-0.016905,0.0073894,0.036409,0,0,0,0.1132,3.7579E-05,-6.0462E-11,1.9957E-11,3.5131E-05,4.3921E-07,3.3382E-05,0,0,0,0,0,0,package://leg_description/meshes/leg_steer_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leg_description/meshes/leg_steer_link.STL,,BaseRotator-1;Steer-2,Origin_leg_steer_joint6,Axis_leg_steer_joint2,leg_steer_joint,revolute,0.0052331,-0.12786,0.11019,1.5708,0,-3.1007,leg_base_link,0,1,0,1,1,-785398,785398,,,,,,,,
leg_body_link,0.016905,-0.0079813,0.075121,0,0,0,0.040373,5.5253E-05,3.1764E-21,-2.8187E-20,5.2295E-05,5.7164E-06,4.2593E-06,0,0,0,0,0,0,package://leg_description/meshes/leg_body_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leg_description/meshes/leg_body_link.STL,,Leg-1,Origin_leg_body_joint6,Axis_leg_body_joint,leg_body_joint,revolute,0,0.02,0.055,-0.62541,0,-3.1416,leg_steer_link,1,0,0,1,1,-785398,785398,,,,,,,,
knee_link,0.016905,-0.016174,-0.031915,0,0,0,0.022606,5.407E-06,7.8435E-23,-2.5146E-22,3.6155E-06,-4.2278E-22,5.6458E-06,0,0,0,0,0,0,package://leg_description/meshes/knee_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leg_description/meshes/knee_link.STL,,Steer-1,Origin_knee_joint6,Axis_knee_joint,knee_joint,revolute,0,0,0.09,-2.5162,0,0,leg_body_link,1,0,0,1,1,-785398,785398,,,,,,,,
wheel_steer_link,0.015586,-0.040657,-0.032579,0,0,0,0.060967,2.9652E-05,-7.8711E-22,-4.6755E-22,1.816E-05,-7.546E-22,3.3325E-05,0,0,0,0,0,0,package://leg_description/meshes/wheel_steer_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leg_description/meshes/wheel_steer_link.STL,,WheelHolder-1,Origin_wheel_steer_joint6,Axis_wheel_steer_joint,wheel_steer_joint,revolute,0,-0.0225,0,0,-0.040906,0,knee_link,0,1,0,1,1,-785398,785398,,,,,,,,
wheel_link,0.015586,0,0,0,0,0,0.039231,1.1369E-05,-1.5784E-38,4.4116E-24,7.2321E-06,3.7434E-38,7.2321E-06,0,0,0,0,0,0,package://leg_description/meshes/wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leg_description/meshes/wheel_link.STL,,Wheel-2,Origin_wheel_joint,Axis_wheel_joint,wheel_joint,continuous,0,-0.061731,-0.032579,0,0,0,wheel_steer_link,1,0,0,,,,,,,,,,,,
